吸,xī
吹,chuī
吻,wěn
吼,hǒu
吾,wú
呀,ya
呃,e
呆,dāi
呈,chéng
告,gào
呋,fū
呐,nà
呒,?
呓,yì
呔,tǎi
呕,ǒu
呖,lì
呗,bài
员,yuán
呙,guō
呛,qiāng
呜,wū
呢,ne
呤,líng
呦,yōu
周,zhōu
呱,guā
呲,cī
味,wèi
呵,hē
呶,náo
呷,xiā
呸,pēi
呻,shēn
呼,hū
命,mìng
咀,zuǐ
咂,zā
咄,duō
咆,páo
咋,zǎ
和,hé
咎,jiù
咏,yǒng
咐,fù
咒,zhòu
咔,kā
咕,gū
咖,kā
咙,lóng
咚,dōng
咛,níng
咝,sī
咣,guāng
咤,zhà
咦,yí
咧,liě
咨,zī
咩,miē
咪,mī
咫,zhǐ
咬,yǎo
咭,jī
咯,gē
咱,zán
咳,hāi
咴,huī
咸,xián
咻,xiū
咽,yān
咿,yī
哀,āi
品,pǐn
哂,shěn
哄,hǒng
哆,duō
哇,wā
哈,hā
哉,zāi
哌,pài
响,xiǎng
哎,āi
哏,gén
哐,kuāng
哑,yǎ
哒,dā
哓,xiāo
哔,bì
哕,yuě
哗,huá
哙,kuài
哚,duǒ
哜,jì
哝,nóng
哞,mōu
哟,yō
哥,gē
哦,ò
哧,chī
哨,shào
哩,lǐ
哪,nǎ
哭,kū
哮,xiāo
哲,zhé
哳,zhā
哺,bǔ
哼,hēng
哽,gěng
哿,gě
唁,yàn
唆,suō
唇,chún
唉,āi
唏,xī
唐,táng
唑,zuò
唔,wú
唛,mà
唠,lào
唢,suǒ
唣,zào
唤,huàn
唧,jī
唪,běng
唬,hǔ
售,shòu
唯,wéi
唰,shuā
唱,chàng
唳,lì
唷,yō
唼,shà
唾,tuò
唿,hū
啁,zhōu
啃,kěn
啄,zhuó
商,shāng
啉,lín
啊,ā
啐,cuì
啕,táo
啖,dàn
啜,chuò
啡,fēi
啤,pí
啥,shá
啦,lā
啧,zé
啪,pā
啬,sè
啭,zhuàn
啮,niè
啵,bo
啶,dìng
啷,lāng
啸,xiào
啻,chì
啼,tí
啾,jiū
喀,kā
喁,yóng
喂,wèi
喃,nán
善,shàn
喇,lǎ
喈,jiē
喉,hóu
喊,hǎn
喋,dié
喏,nuò
喑,yīn
喔,wō
喘,chuǎn
喙,huì
喜,xǐ
喝,hē
喟,kuì
喧,xuān
喱,lí
喳,zhā
喵,miāo
喷,pēn
喹,kuí
喻,yù
喽,lou
喾,kù
嗄,á
嗅,xiù
嗉,sù
嗌,ài
嗍,suō
嗑,kè
嗒,dā
嗓,sǎng
嗔,chēn
嗖,sōu
嗜,shì
嗝,gé
嗟,jiē
嗡,wēng
嗣,sì
嗤,chī
嗥,háo
嗦,suō
嗨,hāi
嗪,qín
嗫,niè
嗬,hē
嗯,en
嗲,diǎ
嗳,ài
嗵,tōng
嗷,áo
嗽,sòu
嗾,sǒu
嘀,dī
嘁,qī
嘈,cáo
嘉,jiā
嘌,piào
嘎,gā
嘏,gǔ
嘘,xū
嘛,ma
嘞,lei
嘟,dū
嘣,bēng
嘤,yīng
嘧,mì
嘬,zuō
嘭,pēng
嘱,zhǔ
嘲,cháo
嘴,zuǐ
嘶,sī
嘹,liáo
嘻,xī
嘿,hēi
噌,cēng
噍,jiào
噎,yē
噔,dēng
噗,pū
噘,juē
噙,qín
噜,lū
噢,ō
噤,jìn
器,qì
噩,è
噪,zào
噫,yī
噬,shì
噱,jué
噶,gá
噻,sāi
噼,pī
嚅,rú
嚆,hāo
嚎,háo
嚏,tì
嚓,chā
嚣,xiāo
嚯,huò
嚷,rǎng
嚼,jiáo
囊,náng
囔,nāng
囗,wéi
囚,qiú
四,sì
囝,jiǎn
回,huí
囟,xìn
因,yīn
囡,nān
团,tuán
囤,dùn
囫,hú
园,yuán
困,kùn
囱,cōng
围,wéi
囵,lún
囹,líng
固,gù
国,guó
图,tú
囿,yòu
圃,pǔ
圄,yǔ
圆,yuán
圈,quān
圉,yǔ
圊,qīng
圜,huán
土,tǔ
圣,shèng
在,zài
圩,xū
圪,gē
圬,wū
圭,guī
圮,pǐ
圯,yí
地,dì
圳,zhèn
圹,kuàng
场,chǎng
圻,qí
圾,jī
址,zhǐ
坂,bǎn
